id,title,content,publish_time,is_pinned,creator_id
1,周年庆特惠,全场 8.8 折，6 月 10 日 - 20 日，欢迎惠顾！,2025/6/1 10:00,0,1
2,新品上市,夏日清凉菜系上线，清爽可口不容错过！,2025/6/5 14:30,0,2
3,周末套餐,双人套餐 198 元，含招牌菜 + 饮品，限量 50 份！,2025/6/8 9:15,0,3
4,积分兑换,会员积分可兑菜品 / 礼品，详询服务员,2025/6/10 16:20,0,1
5,营业时间调整,6 月 15 日起，营业时间延长至 22:30,2025/6/12 11:45,0,2
6,厨师团队升级,特邀星级主厨，菜品全面焕新！,2025/6/15 13:00,0,3
7,端午活动,6 月 22 日端午节，消费满 200 赠粽子礼盒！,2025/6/18 8:30,0,1
8,外卖优惠,外卖满 50 减 10，满 100 减 25，免配送费！,2025/6/20 15:10,0,2
9,装修通知,6 月 25 日 - 7 月 5 日局部装修，部分座位受限,2025/6/22 10:20,0,3
10,美食节预告,7 月 10 日美食节开幕，大厨现场教学！,2025/6/25 14:45,0,1
